title,developer,publisher,genres,category,overallAvgRating,reviewCount,finalAmount,baseAmount,discountPercentage,isDiscounted,isFree,globalReleaseDate,isGame,main_genre,release_year
Chicken Police,The Wild Gentlemen,HandyGames,"['Adventure', 'Point-and-click', 'Detective-mystery']",Adventure,4.4,19,6.99,19.99,65,True,False,1604527200.0,True,Adventure,2020.0
Outshine,Fishing Cactus,PID Games,"['Action', 'Arcade', 'Sci-fi']",Action,5.0,1,12.99,12.99,0,False,False,1667426400.0,True,Action,2022.0
God of War,Santa Monica Studio,PlayStation PC LLC,"['Action', 'Adventure', 'Fantasy']",Action,4.4,192,20.0,49.99,60,True,False,1642111200.0,True,Action,2022.0
Hell Pie Demo,Sluggerfly,Headup,"['Adventure', 'Action', 'Comedy']",Adventure,2.5,3,0.0,0.0,0,False,True,1658350800.0,True,Adventure,2022.0
Scorchlands,Ringlab,Star Drifters,"['Simulation', 'Building', 'Sci-fi']",Simulation,4.2,2,4.09,11.79,65,True,False,1675720800.0,True,Simulation,2023.0
Greak: Memories of Azur - Deluxe Edition,Navegante Entertainment,Team17 Digital LTD.,"['Action', 'Adventure', 'Puzzle']",Action,4.3,5,6.19,24.77,75,True,False,1629147600.0,True,Action,2021.0
Hoa,Skrollcat Studio,PM Studios,"['Action', 'Adventure', 'Platformer']",Action,3.9,20,5.0,12.49,60,True,False,1629752400.0,True,Action,2021.0
Hot Brass,Walk with Kings,Treasure Hunters FanClub,"['Shooter', 'Action', 'Tactical']",Shooter,4.3,7,2.49,12.49,80,True,False,1614290400.0,True,Shooter,2021.0
Dust to the End,"Haojoy Game, Zjoy Game",2P Games,"['Adventure', 'Economic', 'Survival']",Adventure,3.1,4,10.19,10.19,0,False,False,1628629200.0,True,Adventure,2021.0
Headquarters: World War II,Starni Games,Slitherine Ltd.,"['Strategy', 'Turn-based', 'Tactical']",Strategy,3.8,2,29.29,38.99,25,True,False,1712782800.0,True,Strategy,2024.0
Vambrace: Cold Soul,Devespresso Games,Headup,"['Adventure', 'Role-playing', 'Fantasy']",Adventure,3.3,125,2.49,24.99,90,True,False,1558990800.0,True,Adventure,2019.0
Pizza Possum,Cosy Computer,Raw Fury,"['Action', 'Strategy', '']",Action,4.1,5,3.58,6.99,49,True,False,1695848400.0,True,Action,2023.0
Offworld Trading Company - OST,Mohawk Games,Stardock Entertainment,"['Strategy', 'Real-time', 'Sci-fi']",Strategy,2.0,1,3.39,9.99,66,True,False,1461790800.0,True,Strategy,2016.0
Rules of Engagement II,"Omnitrend Software, Inc.",Throwback Entertainment,"['Role-playing', 'Strategy', 'Sci-fi']",Role-playing,3.4,7,4.29,6.59,35,True,False,725839200.0,True,Role-playing,1992.0
Children of Morta: Family Fireside Fables,Dead Mage,11 bit studios,"['Adventure', 'Combat', 'Fantasy']",Adventure,3.3,1,0.0,0.0,0,False,True,1617138000.0,True,Adventure,2021.0
Virginia,Variable State,505 Games,"['Adventure', 'Action', 'Detective-mystery']",Adventure,2.9,48,3.58,9.99,64,True,False,1474491600.0,True,Adventure,2016.0
Pathologic 2,Ice-Pick Lodge,tinyBuild,"['Adventure', 'Survival', 'Mystery']",Adventure,4.6,110,5.99,29.99,80,True,False,1558558800.0,True,Adventure,2019.0
Kingdom Come: Deliverance II,Warhorse Studios,Deep Silver,"['Adventure', 'Role-playing', 'Historical']",Adventure,3.9,40,50.99,59.99,15,True,False,1738620000.0,True,Adventure,2025.0
Pathfinder: Kingmaker - Varnhold's Lot,Owlcat Games,MY.GAMES,"['Role-playing', 'Adventure', 'Fantasy']",Role-playing,3.7,10,1.39,6.99,80,True,False,1551304800.0,True,Role-playing,2019.0
Northgard,Shiro Games,Shiro Games,"['Strategy', 'Real-time', 'Managerial']",Strategy,3.7,145,7.0,27.99,75,True,False,1520373600.0,True,Strategy,2018.0
Kingdoms of Amalur: Re-Reckoning,"KAIKO, Big Huge Games",THQ Nordic GmbH,"['Role-playing', 'Action', 'Fantasy']",Role-playing,3.7,99,10.0,39.99,75,True,False,1599512400.0,True,Role-playing,2020.0
Haven Soundtrack,The Game Bakers,The Game Bakers,"['Role-playing', 'Adventure', 'Open World']",Role-playing,4.4,4,4.99,9.99,50,True,False,1606946400.0,True,Role-playing,2020.0
Knights of Honor,Black Sea Studios Ltd,Paradox Interactive,"['Strategy', 'Real-time', 'Historical']",Strategy,4.5,26,2.49,9.99,75,True,False,1096491600.0,True,Strategy,2004.0
Spirits of Baciu - Prologue,Horns Level Up Games,Horns Level Up Games,"['Adventure', 'Point-and-click', 'Platformer']",Adventure,4.2,2,0.0,0.0,0,False,True,1668117600.0,True,Adventure,2022.0
The Caligula Effect: Overdose - Stigma Bundle,"FURYU Corporation, Engine Software BV","NIS America, Inc.","['Role-playing', 'Action', 'JRPG']",Role-playing,4.1,4,0.0,0.0,0,False,True,1552341600.0,True,Role-playing,2019.0
LEGO® City Undercover,Traveller's Tales,TT Games,"['Action', 'Adventure', 'Comedy']",Action,4.5,28,4.5,29.99,85,True,False,1491253200.0,True,Action,2017.0
Szybowcowa '87,Pictureworks,Instytut Pamięci Narodowej,"['Adventure', 'Simulation', 'Historical']",Adventure,2.4,4,0.0,0.0,0,False,True,1672264800.0,True,Adventure,2022.0
Outward: The Soroboreans,Nine Dots Studio,Prime Matter,"['Role-playing', 'Survival', 'Fantasy']",Role-playing,3.5,5,1.19,7.99,85,True,False,1592254800.0,True,Role-playing,2020.0
My Time At Portia,Pathea Games,Focus Entertainment,"['Simulation', 'Adventure', 'Sandbox']",Simulation,3.5,70,5.99,29.99,80,True,False,1547503200.0,True,Simulation,2019.0
The Ditzy Demons Are in Love With Me - 18+ Adult Only Content,SMILE,Denpasoft,"['Simulation', 'Visual Novel', 'Narrative']",Simulation,3.7,1,2.49,8.19,70,True,False,1540501200.0,True,Simulation,2018.0
Mondealy Demo,uglycoal,Valkyrie Initiative,"['Role-playing', 'Adventure', 'Narrative']",Role-playing,4.8,2,0.0,0.0,0,False,True,1631480400.0,True,Role-playing,2021.0
SUPERHOT ONE OF US BUNDLE,SUPERHOT Team,SUPERHOT Team,"['Shooter', 'Action', 'FPP']",Shooter,4.6,2,12.29,40.69,70,True,False,1456351200.0,True,Shooter,2016.0
Dr. Fetus' Mean Meat Machine DEMO,Headup Games,Headup,"['Action', 'Puzzle', 'Platformer']",Action,3.4,3,0.0,0.0,0,False,True,1680469200.0,True,Action,2023.0
Shortest Trip to Earth - Supporters Pack,Interactive Fate,Iceberg Interactive,"['Simulation', 'Real-time', 'Sci-fi']",Simulation,4.3,2,2.49,8.19,70,True,False,1571778000.0,True,Simulation,2019.0
Whateverland,Caligari Games,"Caligari Games, WhisperGames","['Adventure', 'Point-and-click', 'Detective-mystery']",Adventure,3.1,11,19.99,19.99,0,False,False,1663189200.0,True,Adventure,2022.0
Momodora: Reverie Under the Moonlight,Bombservice,PLAYISM,"['Action', 'Adventure', 'Metroidvania']",Action,4.4,56,3.69,9.19,60,True,False,1457042400.0,True,Action,2016.0
Rise Eterna,"Makee, Forever Entertainment S. A.",Forever Entertainment S. A.,"['Strategy', 'Role-playing', 'Tactical']",Strategy,2.8,18,1.69,16.79,90,True,False,1623186000.0,True,Strategy,2021.0
Combat Mission Shock Force 2,Battlefront,Slitherine Ltd.,"['Strategy', 'Simulation', 'Historical']",Strategy,3.5,2,30.39,60.79,50,True,False,1598821200.0,True,Strategy,2020.0
Wall World: Deep Threat,Alawar,Alawar,"['Strategy', 'Adventure', 'Roguelike']",Strategy,3.5,3,1.19,2.99,60,True,False,1691528400.0,True,Strategy,2023.0
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,07th Expansion,MangaGamer,"['Adventure', 'Visual Novel', 'Mystery']",Adventure,4.4,3,3.99,7.99,50,True,False,1466197200.0,True,Adventure,2016.0
Symphony of War: The Nephilim Saga,Dancing Dragon Games,indie.io,"['Strategy', 'Role-playing', 'Tactical']",Strategy,4.4,35,7.99,19.99,60,True,False,1654808400.0,True,Strategy,2022.0
Symphony of War: The Nephilim Saga - Legends,Dancing Dragon Games,indie.io,"['Strategy', 'Role-playing', 'Tactical']",Strategy,4.5,3,7.49,9.99,25,True,False,1693170000.0,True,Strategy,2023.0
Ken Follett’s The Pillars of the Earth,Daedalic Entertainment,Daedalic Entertainment,"['Adventure', 'Point-and-click', 'Historical']",Adventure,4.2,53,1.99,19.99,90,True,False,1502744400.0,True,Adventure,2017.0
Shining Song Starnova Limited Edition,Love in Space,Sekai Project,"['Simulation', 'Visual Novel', 'Managerial']",Simulation,3.4,5,9.0,44.99,80,True,False,1532466000.0,True,Simulation,2018.0
Pan-Pan Upgrade to Planetary Pack,Spelkraft,Might and Delight,"['Adventure', 'Puzzle', 'Open World']",Adventure,3.0,1,8.19,8.19,0,False,False,1472072400.0,True,Adventure,2016.0
Blackwind,Drakkar Dev,Blowfish Studios,"['Action', 'Arcade', 'Sci-fi']",Action,3.0,12,5.0,24.99,80,True,False,1642629600.0,True,Action,2022.0
Mhakna Gramura and Fairy Bell - Original Soundtrack,ALICE IN DISSONANCE,Sekai Project,"['Adventure', 'Visual Novel', 'Narrative']",Adventure,4.0,1,3.99,9.99,60,True,False,1518991200.0,True,Adventure,2018.0
FixFox,Rendlike,Joystick Ventures,"['Adventure', 'Puzzle', '']",Adventure,4.0,11,3.79,12.49,70,True,False,1648674000.0,True,Adventure,2022.0
M.U.D.S.: Mean Ugly Dirty Sport,"Golden Goblins, Rainbow Arts",Ziggurat Interactive,"['Sports', 'Action', 'Managerial']",Sports,4.8,4,3.19,6.42,50,True,False,631144800.0,True,Sports,1989.0
Soulstone Survivors,Game Smithing Limited,Game Smithing Limited,"['Action', 'Role-playing', 'Roguelike']",Action,4.6,8,9.69,14.79,34,True,False,1744837200.0,True,Action,2025.0
Neptunia Virtual Stars - VIP Edition,Idea Factory / Compile Heart,Idea Factory International,"['Action', 'Adventure', 'JRPG']",Action,1.4,8,61.19,122.39,50,True,False,1616965200.0,True,Action,2021.0
Smushi Come Home,SomeHumbleOnion,Mooneye Studios,"['Adventure', 'TPP', '']",Adventure,4.4,9,11.99,19.99,40,True,False,1686344400.0,True,Adventure,2023.0
Drakkhen,Infogrames Europe SA,Atari,"['Role-playing', 'Adventure', 'Fantasy']",Role-playing,3.4,13,0.99,4.99,80,True,False,599608800.0,True,Role-playing,1988.0
Lust from Beyond,Movie Games Lunarium,Movie Games S.A.,"['Action', 'Adventure', 'Puzzle']",Action,3.6,15,5.89,16.79,65,True,False,1615413600.0,True,Action,2021.0
The Evil Within 2,Tango Gameworks,Bethesda Softworks LLC,"['Action', 'Survival', 'Horror']",Action,4.3,176,5.99,29.99,80,True,False,1507755600.0,True,Action,2017.0
Demon Turf,Fabraz,Playtonic Friends,"['Adventure', 'Action', 'Platformer']",Adventure,4.1,9,9.96,21.99,55,True,False,1635976800.0,True,Adventure,2021.0
KARMA: The Dark World,POLLARD STUDIO LLC,Wired Productions,"['Adventure', 'Role-playing', 'Horror']",Adventure,4.0,15,20.0,24.99,20,True,False,1743026400.0,True,Adventure,2025.0
Rabbit Burn,Bio Sapiens,Eroge Japan,"['Action', 'Combat']",Action,3.5,7,5.0,12.49,60,True,False,1558126800.0,True,Action,2019.0
Just Cause,Avalanche Studios,Square Enix,"['Action', 'TPP', 'Open World']",Action,3.6,31,0.99,6.99,86,True,False,1158872400.0,True,Action,2006.0
Midnight Scenes: From the Woods Soundtrack,Octavi Navarro,White Blanket Games,"['Adventure', 'Point-and-click', 'Horror']",Adventure,5.0,1,1.49,1.99,25,True,False,1675893600.0,True,Adventure,2023.0
Reignbreaker,Studio Fizbin,Thunderful Publishing,"['Action', 'Adventure', 'Roguelike']",Action,3.7,4,7.99,9.99,20,True,False,1742248800.0,True,Action,2025.0
SpellForce 3 Reforced,"Grimlore Games, THQ Nordic ",THQ Nordic GmbH,"['Role-playing', 'Strategy', 'Fantasy']",Role-playing,3.9,119,10.0,39.99,75,True,False,1512597600.0,True,Role-playing,2017.0
Do Not Feed the Monkeys,Fictiorama Studios,Alawar,"['Simulation', 'Strategy', 'Modern']",Simulation,3.9,16,1.59,15.79,90,True,False,1540242000.0,True,Simulation,2018.0
Dark Deity: Complete Edition,Sword & Axe LLC,indie.io,"['Adventure', 'Strategy', 'JRPG']",Adventure,4.2,72,8.19,40.99,80,True,False,1623790800.0,True,Adventure,2021.0
Jet Kave Adventure,7Levels S.A,7Levels S.A,"['Action', 'Adventure', 'Platformer']",Action,4.3,10,1.49,14.99,90,True,False,1610661600.0,True,Action,2021.0
Core Keeper,Pugstorm,Fireshine Games,"['Adventure', 'Action', 'Sandbox']",Adventure,3.9,52,13.99,19.99,30,True,False,1724706000.0,True,Adventure,2024.0
Ultimate Fishing Simulator - Sakura® Lures DLC,Bit Golem,Ultimate Games S.A.,"['Simulation', 'FPP', '']",Simulation,3.0,1,2.99,2.99,0,False,False,1576706400.0,True,Simulation,2019.0
Devil's Hunt,Layopi Games,Fulqrum Publishing,"['Action', 'TPP', 'Fantasy']",Action,2.5,30,2.29,14.99,85,True,False,1568667600.0,True,Action,2019.0
Vampire: The Masquerade - Shadows of New York - Artbook,Draw Distance,Dear Villagers,"['Role-playing', 'Action', 'Horror']",Role-playing,2.4,1,4.99,4.99,0,False,False,1599685200.0,True,Role-playing,2020.0
Mechaneer Resta's Grand Adventure,Resta!,Kagura Games,"['Adventure', 'Combat', '']",Adventure,3.1,1,9.69,14.79,34,True,False,1680901200.0,True,Adventure,2023.0
Civitatem,LW Games,Mill Games S.A.,"['Simulation', 'Building', 'Managerial']",Simulation,3.7,6,12.99,12.99,0,False,False,1659301200.0,True,Simulation,2022.0
Yakuza 6: The Song of Life,Ryu Ga Gotoku Studio,SEGA,"['Action', 'Adventure', 'Narrative']",Action,4.3,15,10.99,19.99,45,True,False,1616623200.0,True,Action,2021.0
Beyond The Edge Of Owlsgard,WatchDaToast,Assemble Entertainment,"['Adventure', 'Point-and-click', 'Puzzle']",Adventure,4.5,25,4.89,24.49,80,True,False,1671746400.0,True,Adventure,2022.0
Punk Wars,Strategy Forge S.A.,"Jujubee S.A., Strategy Forge S.A.","['Strategy', 'Turn-based', 'Tactical']",Strategy,3.2,13,1.69,16.99,90,True,False,1636581600.0,True,Strategy,2021.0
Hello Neighbor,Dynamic Pixels,tinyBuild,"['Action', 'Adventure', 'Stealth']",Action,2.4,21,5.59,27.99,80,True,False,1503954000.0,True,Action,2017.0
Succubus Prison UNRATED,Tokinokogiri,Kagura Games,"['Role-playing', 'Adventure', 'Narrative']",Role-playing,5.0,1,0.0,0.0,0,False,True,1689368400.0,True,Role-playing,2023.0
Two Point Hospital: Bigfoot,Two Point Studios,SEGA,"['Simulation', 'Building', 'Managerial']",Simulation,4.7,2,4.5,8.99,50,True,False,1543960800.0,True,Simulation,2018.0
A Castle Full of Cats,Devcats,Devcats,"['Adventure', 'Point-and-click', 'Hidden Object']",Adventure,4.6,27,2.79,3.94,29,True,False,1667944800.0,True,Adventure,2022.0
Two Worlds II: Call of the Tenebrae,Reality Pump Studios,TopWare Interactive,"['Action', 'Role-playing', 'Fantasy']",Action,2.7,7,5.19,12.79,59,True,False,1497474000.0,True,Action,2017.0
140 Soundtrack ,Carlsen Games,Carlsen Games,"['Action', 'Arcade', 'Platformer']",Action,3.7,1,0.99,4.99,80,True,False,1497906000.0,True,Action,2017.0
Saint Kotar,The-Mark Entertainment,SOEDESCO,"['Adventure', 'Point-and-click', 'Mystery']",Adventure,3.4,15,24.99,24.99,0,False,False,1635368400.0,True,Adventure,2021.0
18 Wheels of Steel: Hard Truck,Cosmi Valusoft,Cosmi ValuSoft,"['Simulation', 'Real-time', 'Modern']",Simulation,3.9,10,5.49,9.99,45,True,False,1030741200.0,True,Simulation,2002.0
The Messenger Original Soundtrack - Disc I: The Past,"Sabotage, Rainbowdragoneyes",Devolver Digital,"['Action', 'Combat', 'Platformer']",Action,4.0,1,1.99,3.99,50,True,False,1535576400.0,True,Action,2018.0
Sniper Ghost Warrior Contracts 2 Complete Edition,Underdog Studio,CI Games,"['Shooter', 'Action', 'Stealth']",Shooter,3.3,11,11.79,58.79,80,True,False,1622754000.0,True,Shooter,2021.0
Bread & Fred,SandCastles Studio,Atari,"['Action', 'Adventure', 'Platformer']",Action,3.4,4,8.89,14.79,40,True,False,1684789200.0,True,Action,2023.0
Bridge Constructor,ClockStone,Headup,"['Simulation', 'Building', 'Managerial']",Simulation,3.6,26,0.89,8.99,90,True,False,1381870800.0,True,Simulation,2013.0
Ringlorn Saga Gaiden,Graverobber Foundation,Graverobber Foundation,"['Action', 'Adventure', '']",Action,3.8,1,2.79,4.59,39,True,False,1723669200.0,True,Action,2024.0
Cyber Shadow,"Aarne ""MekaSkull"" Hunziker",Yacht Club Games,"['Action', 'Adventure', 'Sci-fi']",Action,3.9,25,19.99,19.99,0,False,False,1611612000.0,True,Action,2021.0
Hidden Through Time 2: Myths & Magic,Rogueside,Rogueside,"['Adventure', 'Puzzle', 'Sandbox']",Adventure,4.1,3,6.29,12.49,50,True,False,1696453200.0,True,Adventure,2023.0
TAMAKAGURA: Tales of Turmoil,Debonosu Works,Shiravune,"['Adventure', 'Visual Novel', 'Fantasy']",Adventure,3.0,1,16.79,16.79,0,False,False,1661461200.0,True,Adventure,2022.0
Orwell: Ignorance is Strength,Osmotic Studios,Daedalic Entertainment,"['Simulation', 'Puzzle', 'Detective-mystery']",Simulation,3.5,15,2.99,9.99,70,True,False,1519250400.0,True,Simulation,2018.0
Unbound: Worlds Apart,Alien Pixel Studios,Alien Pixel Studios,"['Adventure', 'Action', 'Platformer']",Adventure,4.3,14,19.99,19.99,0,False,False,1627419600.0,True,Adventure,2021.0
Northgard - Cross of Vidar Expansion Pack,Shiro Games,Shiro Games,"['Strategy', 'Real-time', 'Managerial']",Strategy,3.9,4,9.79,14.99,35,True,False,1670882400.0,True,Strategy,2022.0
Bright Memory: Infinite Ultimate Edition,FYQD-Studio,PLAYISM,"['Shooter', 'Action', 'Sci-fi']",Shooter,3.6,3,18.39,23.06,20,True,False,1636668000.0,True,Shooter,2021.0
Fantasy General II - Invasion,Owned by Gravity,Slitherine Ltd.,"['Strategy', 'Turn-based', 'Fantasy']",Strategy,4.1,40,11.89,33.99,65,True,False,1567630800.0,True,Strategy,2019.0
Curious Expedition 2,Maschinen-Mensch,Maschinen-Mensch,"['Adventure', 'Strategy', 'Historical']",Adventure,3.4,8,4.99,19.99,75,True,False,1611784800.0,True,Adventure,2021.0
Necromunda: Hired Gun - Artbook,Streum On Studio,Focus Entertainment,"['Action', 'Adventure', 'FPP']",Action,2.0,2,2.49,4.99,50,True,False,1622494800.0,True,Action,2021.0
Figment,Bedtime Digital Games,Bedtime Digital Games,"['Action', 'Adventure', 'Fantasy']",Action,3.7,39,19.99,19.99,0,False,False,1506027600.0,True,Action,2017.0
Betrayer,Blackpowder Games,Blackpowder Games,"['Action', 'Adventure', 'Horror']",Action,3.9,72,0.0,0.0,0,False,True,1395612000.0,True,Action,2014.0
The Longing,Studio Seufz,Application Systems Heidelberg,"['Adventure', 'Simulation', 'Fantasy']",Adventure,4.3,38,11.29,14.99,25,True,False,1583359200.0,True,Adventure,2020.0
Nine Noir Lives Demo,Silvernode Studios,Silvernode Studios,"['Adventure', 'Point-and-click', 'Puzzle']",Adventure,3.9,2,0.0,0.0,0,False,True,1662498000.0,True,Adventure,2022.0
Murder Is Game Over: Deal Killer,HitherYon Games,HitherYon Games,"['Adventure', 'Point-and-click', 'Detective-mystery']",Adventure,3.7,1,2.49,4.99,50,True,False,1707170400.0,True,Adventure,2024.0
Outward Definitive Edition,Nine Dots Studio,Prime Matter,"['Role-playing', 'Survival', 'Fantasy']",Role-playing,3.8,107,4.79,39.99,88,True,False,1652734800.0,True,Role-playing,2022.0
"Cook, Serve, Delicious! 2!!",Vertigo Gaming Inc.,Vertigo Gaming Inc.,"['Simulation', 'Action', 'Managerial']",Simulation,3.7,7,3.29,12.99,75,True,False,1505336400.0,True,Simulation,2017.0
Aquanox Deep Descent Collector’s Edition,Digital Arrow,THQ Nordic GmbH,"['Action', 'FPP', '']",Action,2.7,2,3.99,39.99,90,True,False,1602795600.0,True,Action,2020.0
Mech Engineer,KiberKreker,MicroProse Software,"['Simulation', 'Building', 'Managerial']",Simulation,3.0,8,8.79,12.49,30,True,False,1716238800.0,True,Simulation,2024.0
Exiled Kingdoms,4 Dimension Games,4 Dimension Games,"['Role-playing', 'Adventure', 'Open World']",Role-playing,3.9,43,7.99,7.99,0,False,False,1519336800.0,True,Role-playing,2018.0
Colony Ship: A Post-Earth Role Playing Game,Iron Tower Studio ,Iron Tower Studio ,"['Role-playing', 'Turn-based', 'Sci-fi']",Role-playing,4.4,93,18.99,37.99,50,True,False,1617656400.0,True,Role-playing,2021.0
Stonefly,Flight School Studio,Flight School Studio,"['Action', 'Role-playing', '']",Action,3.4,4,16.79,16.79,0,False,False,1622494800.0,True,Action,2021.0
Phantom Trigger,"Bread Team, Victor Solodilov, Denis Novikov ",tinyBuild,"['Action', 'Adventure', 'Fantasy']",Action,2.7,1,2.99,14.99,80,True,False,1501102800.0,True,Action,2017.0
Curious Expedition 2 - Robots of Lux,Maschinen-Mensch,Maschinen-Mensch,"['Adventure', 'Strategy', 'Historical']",Adventure,5.0,1,3.0,5.99,50,True,False,1663189200.0,True,Adventure,2022.0
Anodyne 2: Return to Dust,Analgesic Productions LLC,Analgesic Productions LLC,"['Adventure', 'Role-playing', '']",Adventure,3.6,17,8.39,16.79,50,True,False,1565557200.0,True,Adventure,2019.0
Gargoyles Remastered,Empty Clip Studios,Disney,"['Action', 'Adventure', 'Platformer']",Action,2.7,3,7.39,14.79,50,True,False,1697662800.0,True,Action,2023.0
Blade of Darkness,"Rebel Act Studios, Fire Falcom, General Arcade",SNEG,"['Role-playing', 'Action', 'Fantasy']",Role-playing,4.5,96,5.0,12.49,60,True,False,1633554000.0,True,Role-playing,2021.0
Baldur's Gate Enhanced Edition Official Soundtrack,Beamdog,Beamdog,"['Role-playing', 'Real-time', 'Fantasy']",Role-playing,1.6,16,3.99,7.99,50,True,False,1459976400.0,True,Role-playing,2016.0
The Textorcist: The Story of Ray Bibbia Demo,MorbidWare,Headup,"['Action', 'Adventure', '']",Action,3.8,12,0.0,0.0,0,False,True,1550095200.0,True,Action,2019.0
"Warhammer 40,000: Gladius - Adeptus Mechanicus",Proxy Studios,Slitherine Ltd.,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,4.5,2,7.49,12.49,40,True,False,1637532000.0,True,Strategy,2021.0
Partisans 1941 Extended Edition,Alter Games,Daedalic Entertainment,"['Strategy', 'Real-time', 'Historical']",Strategy,3.5,11,11.59,39.99,71,True,False,1602622800.0,True,Strategy,2020.0
Chronomaster,DreamForge Intertainment,Throwback Entertainment,"['Adventure', 'Point-and-click', 'Sci-fi']",Adventure,4.3,5,3.29,6.59,50,True,False,819410400.0,True,Adventure,1995.0
Blacksmith Master,Untitled Studio,Hooded Horse,"['Simulation', 'Economic', 'Managerial']",Simulation,4.3,11,14.99,19.99,25,True,False,1747256400.0,True,Simulation,2025.0
Offworld Trading Company - Ceres Initiative DLC,Mohawk Games,Stardock Entertainment,"['Strategy', 'Real-time', 'Sci-fi']",Strategy,2.1,1,1.99,5.69,65,True,False,1471813200.0,True,Strategy,2016.0
Super Huey™ 1 & 2 Airdrop,Big Boat Interactive,Ziggurat Interactive,"['Simulation', 'Action']",Simulation,3.4,1,1.69,8.19,79,True,False,1619038800.0,True,Simulation,2021.0
"Warhammer 40,000: Armageddon - Golgotha",Flashback Games/The Lordz Games Studio,Slitherine Ltd.,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,3.1,2,2.49,4.99,50,True,False,1457560800.0,True,Strategy,2016.0
RimWorld,Ludeon Studios,Ludeon Studios,"['Simulation', 'Strategy', 'Sci-fi']",Simulation,4.5,226,25.59,31.99,20,True,False,1539723600.0,True,Simulation,2018.0
Desert Thunder,"Brainbox Games, Hip Games",Funbox Media Limited,"['Action', 'Combat']",Action,3.5,8,2.39,2.39,0,False,False,1069192800.0,True,Action,2003.0
Streets of Rogue Soundtrack,Matt Dabrowski,tinyBuild,"['Action', 'Adventure', 'Roguelike']",Action,3.6,1,1.29,4.99,74,True,False,1489096800.0,True,Action,2017.0
Tonight We Riot,Pixel Pushers Union 512,Means Interactive,"['Action', 'Arcade', '']",Action,2.9,130,6.29,12.49,50,True,False,1588885200.0,True,Action,2020.0
Galactic Civilizations III: Crusade Expansion Pack,Stardock Entertainment,Stardock Entertainment,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,3.7,3,1.69,4.99,66,True,False,1493845200.0,True,Strategy,2017.0
ULTRAKILL DEMO,"Arsi ""Hakita"" Patala",New Blood Interactive,"['Shooter', 'Action', 'Sci-fi']",Shooter,4.4,32,0.0,0.0,0,False,True,1602104400.0,True,Shooter,2020.0
